Rider,poids,Team
del Toro Isaac,16,UAE Team Emirates-XRG
Pogacar Tadej,20,UAE Team Emirates-XRG
Evenepoel Remco,17,Red Bull-BORA-hansgrohe
Vingegaard Jonas,18,Team Visma | Lease a Bike
Skjelmose Mattias,11,Lidl-Trek
Johannessen Tobias Halland,10,Uno-X Mobility
Grégoire Romain,10,Groupama-FDJ United
Martinez Lenny,12,Bahrain Victorious
Seixas Paul,17,Decathlon CMA CGM Team
Pidcock Tom,13,Pinarello-Q36.5 Pro Cycling Team
Van Eetvelt Lennert,10,Lotto-Intermarché
Ayuso Juan,15,Lidl-Trek
Van Wilder Ilan,9,Soudal Quick-Step
Carapaz Richard,14,EF Education-EasyPost
Baudin Alex,8,EF Education-EasyPost
Lipowitz Florian,16,Red Bull-BORA-hansgrohe
Uijtdebroeks Cian,10,Movistar Team
Yates Adam,14,UAE Team Emirates-XRG
Higuita Sergio,8,XDS Astana Team
Foss Tobias,6,Netcompany INEOS Cycling Team
Arensman Thymen,12,Netcompany INEOS Cycling Team
van der Poel Mathieu,14,Alpecin-Premier Tech
Bernal Egan,12,Netcompany INEOS Cycling Team
Aranburu Alex,8,Cofidis
Tejada Harold,8,XDS Astana Team
Parra José Félix,5,Caja Rural-Seguros RGA
Voisard Yannis,4,Tudor Pro Cycling Team
Piganzoli Davide,9,Team Visma | Lease a Bike
Jegat Jordan,10,Team TotalEnergies
Izagirre Ion,7,Cofidis
Romo Javier,8,Movistar Team
Balderstone Abel,8,Caja Rural-Seguros RGA
Delbove Joris,3,Team TotalEnergies
Quinn Sean,5,EF Education-EasyPost
Træen Torstein,5,Uno-X Mobility
Hindley Jai,14,Red Bull-BORA-hansgrohe
Benoot Tiesj,8,Decathlon CMA CGM Team
Vacek Mathias,7,Lidl-Trek
McNulty Brandon,9,UAE Team Emirates-XRG
O'Connor Ben,12,Team Jayco-AlUla
Riccitello Matthew,11,Decathlon CMA CGM Team
Martin-Guyonnet Guillaume,9,Groupama-FDJ United
Bennett George,6,NSN Cycling Team
Plapp Luke,8,Team Jayco-AlUla
Gee-West Derek,14,Lidl-Trek
Tiberi Antonio,14,Bahrain Victorious
Hermans Quinten,7,Pinarello-Q36.5 Pro Cycling Team
Jorgenson Matteo,13,Team Visma | Lease a Bike
Schmid Mauro,7,Team Jayco-AlUla
Armirail Bruno,7,Team Visma | Lease a Bike
Vauquelin Kévin,13,Netcompany INEOS Cycling Team
Kuss Sepp,10,Team Visma | Lease a Bike
Johannessen Anders Halland,6,Uno-X Mobility
Braz Afonso Clément,5,Groupama-FDJ United
Skaarseth Anders,4,Uno-X Mobility
Eenkhoorn Pascal,5,Soudal Quick-Step
Steinhauser Georg,6,EF Education-EasyPost
Zimmermann Georg,6,Lotto-Intermarché
Pluimers Rick,7,Tudor Pro Cycling Team
Dhondt Robbe,3,Team Picnic PostNL
Berwick Sebastian,7,Caja Rural-Seguros RGA
Prodhomme Nicolas,7,Decathlon CMA CGM Team
Vervaeke Louis,6,Soudal Quick-Step
Hirschi Marc,7,Tudor Pro Cycling Team
Craps Lars,4,Lotto-Intermarché
Verstrynge Emiel,9,Alpecin-Premier Tech
Harper Chris,8,Pinarello-Q36.5 Pro Cycling Team
Debruyne Ramses,7,Alpecin-Premier Tech
Pacher Quentin,6,Groupama-FDJ United
Nicolau Joel,3,Caja Rural-Seguros RGA
Van Gils Maxim,9,Red Bull-BORA-hansgrohe
Meurisse Xandro,6,Pinarello-Q36.5 Pro Cycling Team
Caruso Damiano,7,Bahrain Victorious
Guernalec Thibault,4,Team TotalEnergies
